antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
Chicken,Uht-milk,0.09943473792394655,0.07810894141829394,0.010277492291880781,0.103359173126615,1.3232694138446892,0.0025107501724358286,1.0281609212424214,0.2712696148359486
Uht-milk,Coffee,0.07810894141829394,0.1143371017471737,0.012846865364850977,0.1644736842105263,1.4384979302188052,0.003916115382543472,1.0600059884600757,0.3306577480490523
Coffee,Uht-milk,0.1143371017471737,0.07810894141829394,0.012846865364850977,0.11235955056179775,1.4384979302188052,0.003916115382543472,1.0385861292882512,0.3441833478387002
Uht-milk,Cream cheese,0.07810894141829394,0.08761562178828367,0.010277492291880781,0.13157894736842105,1.5017749652724184,0.0034339288222923333,1.0506244355165217,0.36243032329988834
Cream cheese,Uht-milk,0.08761562178828367,0.07810894141829394,0.010277492291880781,0.11730205278592375,1.5017749652724184,0.0034339288222923333,1.044401498260338,0.36620670233736957
Curd,Uht-milk,0.11870503597122302,0.07810894141829394,0.013360739979445015,0.11255411255411255,1.4409888357256777,0.00408881527871228,1.0388138269871907,0.3472527472527471
Uht-milk,Curd,0.07810894141829394,0.11870503597122302,0.013360739979445015,0.17105263157894735,1.4409888357256777,0.00408881527871228,1.0631494804156674,0.3319612383157532
Uht-milk,Domestic eggs,0.07810894141829394,0.13103802672147996,0.012846865364850977,0.1644736842105263,1.2551599587203301,0.0026116238120940626,1.04001747982941,0.22051282051282048
Domestic eggs,Uht-milk,0.13103802672147996,0.07810894141829394,0.012846865364850977,0.09803921568627451,1.2551599587203301,0.0026116238120940626,1.0220966084275436,0.23394441159077464
Frankfurter,Uht-milk,0.1343782117163412,0.07810894141829394,0.014388489208633094,0.10707456978967496,1.3708362684914963,0.0038923493417862987,1.0324390227799407,0.31251325107068656
Uht-milk,Frankfurter,0.07810894141829394,0.1343782117163412,0.014388489208633094,0.18421052631578946,1.3708362684914963,0.0038923493417862987,1.0610847727348076,0.2934384456123587
Uht-milk,Frozen vegetables,0.07810894141829394,0.10123329907502569,0.011048304213771839,0.1414473684210526,1.3972415174993318,0.0031410783867400274,1.0468393757900085,0.3083923154701719
Frozen vegetables,Uht-milk,0.10123329907502569,0.07810894141829394,0.011048304213771839,0.10913705583756345,1.397241517499332,0.0031410783867400274,1.034829279433596,0.3163269376520802
Uht-milk,Fruit/vegetable juice,0.07810894141829394,0.12307297019527236,0.011305241521068859,0.14473684210526314,1.176024612679925,0.0016921421019108936,1.0253300656178352,0.16235937975068393
Fruit/vegetable juice,Uht-milk,0.12307297019527236,0.07810894141829394,0.011305241521068859,0.09185803757828809,1.176024612679925,0.0016921421019108936,1.015139809334798,0.17068428202327982
Uht-milk,Margarine,0.07810894141829394,0.11510791366906475,0.011819116135662899,0.1513157894736842,1.3145559210526314,0.002828158850103884,1.0426635435837377,0.259560855023993
Margarine,Uht-milk,0.11510791366906475,0.07810894141829394,0.011819116135662899,0.10267857142857142,1.3145559210526314,0.002828158850103884,1.0273810802104584,0.27041357370095437
Uht-milk,Other vegetables,0.07810894141829394,0.36639260020554987,0.03776978417266187,0.48355263157894735,1.319766368937772,0.009151246027110184,1.2268576403663238,0.26281861685588387
Other vegetables,Uht-milk,0.36639260020554987,0.07810894141829394,0.03776978417266187,0.10308555399719495,1.319766368937772,0.009151246027110184,1.0278472631254987,0.3823978902185366
Uht-milk,Pip fruit,0.07810894141829394,0.1685508735868448,0.01695786228160329,0.21710526315789475,1.2880696405648266,0.0037925319706061614,1.0620190522252064,0.24259315563663392
Pip fruit,Uht-milk,0.1685508735868448,0.07810894141829394,0.01695786228160329,0.10060975609756098,1.2880696405648266,0.0037925319706061614,1.0250178549654223,0.26898153350563736
Uht-milk,Pork,0.07810894141829394,0.13001027749229188,0.0105344295991778,0.13486842105263158,1.03736738090285,0.0003794644507562339,1.005615496738948,0.039073333877151326
Pork,Uht-milk,0.13001027749229188,0.07810894141829394,0.0105344295991778,0.08102766798418973,1.03736738090285,0.0003794644507562339,1.0031760766502005,0.04140434788872385
